origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
ROS,ITB,Gol→Azul,4135.006566728216,2,ROS → POA → BSB → ITB,AR,BR
QGP,VVI,Azul→Gol,4137.164176811375,2,QGP → REC → GRU → VVI,BR,BO
VVI,QGP,Gol→Azul,4137.164176811375,2,VVI → GRU → REC → QGP,BO,BR
UNA,CZS,Azul→Gol,4220.360891258584,2,UNA → SSA → BSB → CZS,BR,BR
CZS,UNA,Gol→Azul,4220.360891258584,2,CZS → BSB → SSA → UNA,BR,BR
QGP,COR,Azul→Gol,4243.574890615093,2,QGP → REC → GRU → COR,BR,AR
COR,QGP,Gol→Azul,4243.574890615093,2,COR → GRU → REC → QGP,AR,BR
OAL,VVI,Azul→Gol,4248.928183900791,2,OAL → BSB → GRU → VVI,BR,BO
VVI,OAL,Gol→Azul,4248.928183900791,2,VVI → GRU → BSB → OAL,BO,BR
ITB,VVI,Azul→Gol,4263.870961586641,2,ITB → BSB → GRU → VVI,BR,BO
VVI,ITB,Gol→Azul,4263.870961586642,2,VVI → GRU → BSB → ITB,BO,BR
OAL,COR,Azul→Gol,4346.74089928631,2,OAL → BSB → CGH → COR,BR,AR
COR,OAL,Gol→Azul,4346.74089928631,2,COR → CGH → BSB → OAL,AR,BR
ITB,COR,Azul→Gol,4361.683676972161,2,ITB → BSB → CGH → COR,BR,AR
COR,ITB,Gol→Azul,4361.683676972161,2,COR → CGH → BSB → ITB,AR,BR
AEP,CJZ,Gol→Azul,4383.464277905948,2,AEP → CGH → FOR → CJZ,AR,BR
CJZ,AEP,Azul→Gol,4383.464277905949,2,CJZ → FOR → CGH → AEP,BR,AR
UMU,CZS,Azul→Gol,4399.518682222936,2,UMU → CWB → BSB → CZS,BR,BR
CZS,UMU,Gol→Azul,4399.518682222936,2,CZS → BSB → CWB → UMU,BR,BR
OAL,CZS,Azul→Gol,4403.602042137278,1,OAL → BSB → CZS,BR,BR
CZS,OAL,Gol→Azul,4403.602042137278,1,CZS → BSB → OAL,BR,BR
CJZ,BOG,Azul→Gol,4411.744518853243,1,CJZ → FOR → BOG,BR,CO
BOG,CJZ,Gol→Azul,4411.744518853243,1,BOG → FOR → CJZ,CO,BR
CJZ,EZE,Azul→Gol,4412.175729336446,2,CJZ → FOR → CGH → EZE,BR,AR
EZE,CJZ,Gol→Azul,4412.175729336446,2,EZE → CGH → FOR → CJZ,AR,BR
ITB,CZS,Azul→Gol,4418.544819823129,1,ITB → BSB → CZS,BR,BR
CZS,ITB,Gol→Azul,4418.544819823129,1,CZS → BSB → ITB,BR,BR
ROS,CJZ,Gol→Azul,4442.568590176367,2,ROS → CGH → FOR → CJZ,AR,BR
CJZ,ROS,Azul→Gol,4442.568590176368,2,CJZ → FOR → CGH → ROS,BR,AR
VVI,CJZ,Gol→Azul,4539.590415660327,2,VVI → GRU → FOR → CJZ,BO,BR
CJZ,VVI,Azul→Gol,4539.590415660328,2,CJZ → FOR → GRU → VVI,BR,BO
CIZ,AEP,Azul→Gol,4572.25575989356,2,CIZ → BSB → POA → AEP,BR,AR
AEP,CIZ,Gol→Azul,4572.25575989356,2,AEP → POA → BSB → CIZ,AR,BR
AQA,BOG,Azul→Gol,4585.47469352847,2,AQA → VCP → GRU → BOG,BR,CO
BOG,AQA,Gol→Azul,4585.47469352847,2,BOG → GRU → VCP → AQA,CO,BR
CIZ,EZE,Azul→Gol,4598.726083282384,2,CIZ → BSB → POA → EZE,BR,AR
EZE,CIZ,Gol→Azul,4598.726083282384,2,EZE → POA → BSB → CIZ,AR,BR
BOG,JTC,Gol→Azul,4638.3021980518015,2,BOG → GRU → VCP → JTC,CO,BR
JTC,BOG,Azul→Gol,4638.302198051802,2,JTC → VCP → GRU → BOG,BR,CO
COR,CJZ,Gol→Azul,4646.001129464045,2,COR → GRU → FOR → CJZ,AR,BR
CJZ,COR,Azul→Gol,4646.001129464046,2,CJZ → FOR → GRU → COR,BR,AR
ROS,CIZ,Gol→Azul,4691.451473950769,2,ROS → POA → BSB → CIZ,AR,BR
CIZ,ROS,Azul→Gol,4691.4514739507695,2,CIZ → BSB → POA → ROS,BR,AR
FRC,BOG,Azul→Gol,4693.093011026621,2,FRC → VCP → GRU → BOG,BR,CO
BOG,FRC,Gol→Azul,4693.093011026621,2,BOG → GRU → VCP → FRC,CO,BR
QGP,CZS,Azul→Gol,4698.155729454789,2,QGP → REC → BSB → CZS,BR,BR
CZS,QGP,Gol→Azul,4698.155729454789,2,CZS → BSB → REC → QGP,BR,BR
